"created_at","screen_name","text"
2021-08-06 15:49:30,"bucinNASA","errorr mulu errorr mulu mengcapek saya min mau isi paket kek daftar cpns susahnya @Telkomsel <U+0001F62D><U+26A0><U+FE0F>"
2021-08-06 15:46:09,"idealtouse","Bismillah lulus CPNS. https://t.co/6kMaJ9cDSv"
2021-08-06 15:44:34,"Ranni_Hasyim","Mas mas cpns https://t.co/y8y5CUAhVY"
2021-08-06 15:44:26,"costan_rider","@kompascom Percuma diperpanjang kalo gak dikasih tau mana formasi yg masih kosong. CPNS tahun kemarin tuh bisa dilihat berapa jumlah pelamar tiap formasi, sekarang malah saya gatau. Apakah saya yg gak dapat info"
2021-08-06 15:41:30,"arif_hil","Terus apa gunanya itu value akhlak yg dulu digembor2in? Ngelamar kerja jadi karyawan biasa atau ngelamar CPNS aja ada yg syaratnya butuh SKCK. https://t.co/IWfl2tQwW7"
2021-08-06 14:27:34,"CASN2021","Cara Ikut Simulasi CAT CPNS BKN, Persiapan Ujian CPNS 2021 - https://t.co/1YqEymXNZL"
2021-08-05 23:17:17,"CASN2021","BKN Ungkap Instansi CPNS 2021 yang Belum Ada Peminatnya - https://t.co/V1PIZJwWkE"
2021-08-06 14:27:42,"CASN2021","Kementerian PANRB Pastikan Kelulusan Peserta CPNS Tak Berdasarkan Ranking Tertinggi - https://t.co/d5oirrnjFu"
2021-08-06 14:27:28,"CASN2021","Cara Cek!! Sesuai Tanggal Hari Ini Akan Muncul Hasil Seleksi Administrasi CPNS 2021 - https://t.co/zZg6LiYo3N"
2021-08-06 15:39:22,"CASN2021","@IndonesiaBaikId Ada thread kumpulan ebook SKD dan SKB loh silahkan #CPNS2021 #SKBCPNS2021 #CPNS https://t.co/lT0Wz9hDAD"
2021-08-05 23:17:27,"CASN2021","Gaji Pegawai Lapas Cukup Menarik, Banyak Lowongan Formasi Sipir CPNS 2021 - https://t.co/dXU7S44WZh"
2021-08-06 15:35:41,"News_TVRI","#TVRINews Sebanyak 1.201 Pelamar CPNS di NTB Tak Lolos Seleksi Administrasi
https://t.co/xFUt0fXj3j"
2021-08-06 13:25:44,"Gulf44363851","@CPNS_BUMN padahal saya daftar formasi umum. Gimana ya min? https://t.co/F82zOyv8iN"
2021-08-06 15:35:32,"Gulf44363851","@CPNS_BUMN Ok. Makasih kak"
2021-08-06 14:05:22,"Gulf44363851","@indiehome_bdg @CPNS_BUMN Memang tetap saya lampirkan kak. Saya B. Tapi kan saya bukan formasi cumlaude knapa harus A?"
2021-08-06 15:32:00,"AbangEzaaa","Saingan cpns 100 lebih, mangat yook"
2021-08-06 15:30:27,"yenae","@BTSNAMJOJON GAK MAU JADI CPNS. mau jadi pemilik cafe senja aja"
2021-08-06 15:29:29,"Kevin_AAAAA","@ZarinNazivah Atau cpns nya singkatan dari ""calon pegawai negeri swedia"""
2021-08-06 15:28:33,"mirmeera_","Liat orang2 yg se-ambisi itu buat cpns. Gokil jg ya ckckckck"
2021-08-06 15:28:24,"wwwitwiww","Pelamar CPNS yang lulus administrasi jalur bukan keberuntungan sedang berusaha mematahkan semangat pelamar yang lulus karena beruntung. 
Itu salah satu cara Ngurangin saingan sihhhh 
WKWK"
2021-08-06 15:26:04,"miiaa30","Ya Allah ketemu yg begini pas tes cpns gagal fokus kali gue<U+0001F606> https://t.co/QQva5dBVGw"
2021-08-06 15:25:00,"_ahmadarief_","@ariqqq___ Main bola dong,ga mgkin kan daftar cpns"
2021-08-06 15:24:59,"kangbra1912","Ngurusin berkas buat CPNS bareng-bareng di cafe sampai malam biar kelar bareng.
Dia keterima PNS aku enggak, habis ketrima dia menghilang gak ada jejak. 
Ganti nomor hp gak dikabarin.
Anjir capek <U+0001F612> https://t.co/0u3BETq2id"
2021-08-06 15:23:53,"lalaulia","Pengen punya tato tp kalo tiba2 pen daftar cpns gimana"
2021-08-06 15:22:29,"ProHaba","740.668 Pelamar Tak Lolos Administrasi CPNS-CPPPK https://t.co/epnA5BJWFZ"
2021-08-06 03:26:51,"Tribun_Jakarta","Nilai SKD Kumulatif Peserta CPNS 2021 Sama-sama Tinggi, Bagaimana Penentuan Kelulusannya?
 
https://t.co/co1dxpAf8e lewat @tribunnews"
2021-08-06 05:12:55,"Tribun_Jakarta","Cara Pelamar Seleksi CPNS 2021 Ajukan Sanggah, 5 Faktor Peserta Tak Lolos Hasil Seleksi Administrasi
 
https://t.co/FHaQBlJ90k lewat @Tribun_Jakarta"
2021-08-06 15:22:00,"Tribun_Jakarta","Motor Nakes Ini Hilang Usai Bantu Warga Vaksin Covid-19, Kendaraan Kado dari Suami karena Lulus CPNS
 
https://t.co/6oFeMSS2Gz"
2021-08-06 15:20:07,"rifky2909","10 Latihan Soal #SKD TWK #cpns 2021 Materi NKRI, Beserta Jawabannya https://t.co/k9GWgWUhro"
2021-08-06 15:19:42,"alysr__11","taun ini absen duls ikut cpns nya. krmn mau daftar aja gada tenaga buat nyiapin berkas2 <U+0001F494>"
2021-08-06 15:19:25,"mhdiqbaaale","@Vaux_Xuhocu @whoa_luthfi @nebulanadita @cc11844284 @dakdanakdo @SeputarTetangga Jangan kan nyari kerja, buat tumbal aja persyaratan nya udah kaya masuk CPNS"
2021-08-06 15:19:05,"y_ardn","Cape bgt ditanyain knp ga ikut cpns pdhl emg gbs ikut karna program p3k utk guru seribet itu njir"
2021-08-06 15:18:10,"CheesecakeLyra","@Bang_Garr Bantuin buat tes cpns bang <U+0001F62D><U+0001F62D><U+0001F62D>"
2021-08-06 15:17:55,"PakdeDjum","@NasNotNus Tentang Tes CPNS :3"
2021-08-06 15:17:10,"AhmadNurKhamim_","@ernystyw Smngt cpns yukk smngt wkwk"
2021-08-06 15:14:15,"mylovelybanggar","@Bang_Garr ini les privat buat cpns ke bang garr bisa gak? wkwk kan ujiannya mirip sekolah kedinasan<U+0001F602>"
2021-08-06 15:16:32,"mylovelybanggar","@Bang_Garr bang ya Allah sumpah aku nyari les cpns di daerahku susah belom nemu sampe sekarang<U+0001F62D><U+0001F62D> aku pengen les buat cpns tahun depann<U+0001F927><U+0001F62D>"
2021-08-06 15:15:35,"Bang_Garr","@mylovelybanggar Siswa ku waktu di Bimbel ribuan anak CPNS <U+0001F605>"
2021-08-06 15:14:02,"agijr_","@radenrauf Lagi daftar ikut ujian cpns"
2021-08-06 15:13:31,"watermarkqi","Link ini dibuka down bgt kek web buat daftar cpns
https://t.co/bCTgQYeZv4"
2021-08-06 15:11:16,"hayycannn","Messi keluar dari barca mungkin doi pen ikut cpns"
2021-08-06 15:08:32,"uwudrina","@cursedstellar @dkffdlqldi welkam tu ambis-cpns-verse"
2021-08-06 15:08:22,"Ekositorus","@notyourbabybooo Artinya, kau ikut CPNS 2021"
2021-08-06 15:08:12,"chakwekeju","@FWBESS Wawasan kebangsaan, intelegensia umum, teskepribadian hayuk aja dah abs baca buku latian lolos cpns nih"
2021-08-06 15:03:43,"ndakjelasss","Otaknya dah tumpul buat nerima materi ujian skd cpns"
2021-08-06 15:03:14,"NurazizaShima","Hiburan dulu biar gak stres <U+0001F601>
.
.
.
CPNS, Elsa, Reyna, Brazil, Nino https://t.co/CcnhboD2IO"
2021-08-06 15:00:18,"edgard_new","@CPNS_MA_RI Selamat malam, saya kok tdk lulus administrasi ya, dgn alsan ijasah akreditas tdk ada, saya sudah upload, mmg dri kampus tdk di ksi, kami mengurus surat keterangan akreditasi, dan dlm surat sdh diterangkan status kelulusan, srat asli cap bsah, mohon verifikator melihat dgn cermat"
2021-08-06 14:59:56,"cahayaamei","@radenrauf Lagi nongky bareng rossi keknya dah 
sambil bljr skd buat cpns besok"
2021-08-06 14:58:14,"heriebachtiar","@BKNgoid Min, ko saya belum ada pengumuman kelulusan verifikasi berkas ya? Formasi CPNS Kemendikbud."
2021-08-06 14:57:39,"saptarama","Kasian Messi dikontrak terus tapi gak pernah diangkat jadi kartap, wajar cabut. Coba cpns aja mes."
2021-08-06 14:55:18,"kantahmuratara","Repost @atr_bpn para pelamar CPNS Kementerian ATR/BPN. Kabar gembira untuk kita semua karena hasil seleksi administrasi dalam rangka penerimaan CPNS Kementerian ATR/BPN telah kami rilis loh.
Teriring selamat untuk para calon insan pertanahan yang dinyatakan lolos pada tahap ini. https://t.co/u2kHh7UUE9"
2021-08-06 14:54:58,"bluberrystag","@HAIKYUUFESS Anjayyy sama Semi. Boleh la ngambis cpns bareng"
2021-08-06 14:54:37,"nexnen","@yirecnn @ckandy …. Udah kaya mau jadi cpns aja"
